ID|invoice_date|address|city|state|country|post_code|total|customer_ID
354|2013-04-05|2211 W Berry Street|Fort Worth|TX|USA|76110|891|26
355|2013-04-10|Rua dos Campeões Europeus de Viena, 4350|Porto||Portugal||1386|35
356|2013-04-18|Ordynacka 10|Warsaw||Poland|00-358|99|49
357|2013-05-01|C/ San Bernardo 85|Madrid||Spain|28015|198|50
358|2013-05-01|202 Hoxton Street|London||United Kingdom|N1 5LH|198|52
359|2013-05-02|110 Raeburn Pl|Edinburgh||United Kingdom|EH4 1HH|396|54
360|2013-05-03|12,Community Centre|Delhi||India|110017|594|58
361|2013-05-06|Klanova 9/506|Prague||Czech Republic|14700|891|5
362|2013-05-11|8210 111 ST NW|Edmonton|AB|Canada|T6G 2C7|1386|14
363|2013-05-19|302 S 700 E|Salt Lake City|UT|USA|84102|99|28
364|2013-06-01|796 Dundas Street West|Toronto|ON|Canada|M6J 1V1|198|29
365|2013-06-01|194A Chain Lake Drive|Halifax|NS|Canada|B3S 1C5|198|31
366|2013-06-02|5112 48 Street|Yellowknife|NT|Canada|X1A 1N6|396|33
367|2013-06-03|Berger Straße 10|Frankfurt||Germany|60316|594|37
368|2013-06-06|68, Rue Jouvence|Dijon||France|21000|891|43
369|2013-06-11|202 Hoxton Street|London||United Kingdom|N1 5LH|1386|52
370|2013-06-19|Rotenturmstraße 4, 1010 Innere Stadt|Vienne||Austria|1010|99|7
371|2013-07-02|Grétrystraat 63|Brussels||Belgium|1000|198|8
372|2013-07-02|Rua Dr Falcão Filho, 155|São Paulo|SP|Brazil|01007-010|198|10
373|2013-07-03|Praça Pio X, 119|Rio de Janeiro|RJ|Brazil|20040-020|396|12
374|2013-07-04|1600 Amphitheatre Parkway|Mountain View|CA|USA|94043-1351|594|16
375|2013-07-07|120 S Orange Ave|Orlando|FL|USA|32801|891|22
376|2013-07-12|194A Chain Lake Drive|Halifax|NS|Canada|B3S 1C5|1386|31
377|2013-07-20|Erzsébet krt 58|Budapest||Hungary|H-1073|99|45
378|2013-08-02|3 Chatham Street|Dublin|Dublin|Ireland||198|46
379|2013-08-02|Lijnbaansgracht 120bg|Amsterdam|VV|Netherlands|1016|198|48
380|2013-08-03|C/ San Bernardo 85|Madrid||Spain|28015|396|50
381|2013-08-04|110 Raeburn Pl|Edinburgh||United Kingdom|EH4 1HH|594|54
382|2013-08-07|Av Brigadeiro Faria Lima, 2170|São José dos Campos|SP|Brazil|12227-000|891|1
383|2013-08-12|Rua Dr Falcão Filho, 155|São Paulo|SP|Brazil|01007-010|1386|10
384|2013-08-20|162 E Superior Street|Chicago|IL|USA|60611|99|24
385|2013-09-02|319 N Frances Street|Madison|WI|USA|53703|198|25
386|2013-09-02|1033 N Park Ave|Tucson|AZ|USA|85719|198|27
387|2013-09-03|796 Dundas Street West|Toronto|ON|Canada|M6J 1V1|396|29
388|2013-09-04|5112 48 Street|Yellowknife|NT|Canada|X1A 1N6|594|33
389|2013-09-07|4, Rue Milton|Paris||France|75009|891|39
390|2013-09-12|Lijnbaansgracht 120bg|Amsterdam|VV|Netherlands|1016|1386|48
391|2013-09-20|1498 rue Bélanger|Montréal|QC|Canada|H2G 1A7|99|3
392|2013-10-03|Ullevålsveien 14|Oslo||Norway|0171|198|4
393|2013-10-03|Rilská 3174/6|Prague||Czech Republic|14300|198|6
394|2013-10-04|Grétrystraat 63|Brussels||Belgium|1000|396|8
395|2013-10-05|Praça Pio X, 119|Rio de Janeiro|RJ|Brazil|20040-020|594|12
396|2013-10-08|627 Broadway|New York|NY|USA|10012-2612|891|18
397|2013-10-13|1033 N Park Ave|Tucson|AZ|USA|85719|1386|27
398|2013-10-21|11, Place Bellecour|Lyon||France|69002|99|41
399|2013-11-03|9, Place Louis Barthou|Bordeaux||France|33000|198|42
400|2013-11-03|Porthaninkatu 9|Helsinki||Finland|00530|198|44
401|2013-11-04|3 Chatham Street|Dublin|Dublin|Ireland||396|46
402|2013-11-05|C/ San Bernardo 85|Madrid||Spain|28015|594|50
403|2013-11-08|307 Macacha Güemes|Buenos Aires||Argentina|1106|891|56
404|2013-11-13|Rilská 3174/6|Prague||Czech Republic|14300|2586|6
405|2013-11-21|541 Del Medio Avenue|Mountain View|CA|USA|94040-111|99|20
406|2013-12-04|801 W 4th Street|Reno|NV|USA|89503|198|21
407|2013-12-04|69 Salem Street|Boston|MA|USA|2113|198|23
408|2013-12-05|319 N Frances Street|Madison|WI|USA|53703|396|25
409|2013-12-06|796 Dundas Street West|Toronto|ON|Canada|M6J 1V1|594|29
410|2013-12-09|Rua dos Campeões Europeus de Viena, 4350|Porto||Portugal||891|35
411|2013-12-14|Porthaninkatu 9|Helsinki||Finland|00530|1386|44
412|2013-12-22|12,Community Centre|Delhi||India|110017|199|58
